Var1,Freq,c1,c2
Afghanistan,21,Afghanistan,Afghanistan
Albania,6,Albania,Albania
Algeria,20,Algeria,Algeria
Angola,15,Angola,Angola
Anguilla,1,Anguilla,Anguilla
Antigua and Barbuda Antigua,9,Antigua and Barbuda Antigua,and Barbuda Antigua
Argentina,308,Argentina,Argentina
Australia,22,Australia,Australia
Austria,29,Austria,Austria
Azerbaijan,4,Azerbaijan,Azerbaijan
Barbados,8,Barbados,Barbados
Belarus,1,Belarus,Belarus
Belize Toledo,4,Belize Toledo,Toledo
Benin,1,Benin,Benin
Bhutan,6,Bhutan,Bhutan
Bolivia,30,Bolivia,Bolivia
Botswana,2,Botswana,Botswana
Brazil,247,Brazil,Brazil
Bulgaria,37,Bulgaria,Bulgaria
Burkina Faso,171,Burkina Faso,Faso
Burundi,16,Burundi,Burundi
Cambodia,2,Cambodia,Cambodia
Cameroon,45,Cameroon,Cameroon
Canada,64,Canada,Canada
Chad,1,Chad,Chad
Chile,475,Chile,Chile
China,119,China,China
Colombia,1309,Colombia,Colombia
Costa Rica,33,Costa Rica,Rica
Croatia,26,Croatia,Croatia
Cuba,88,Cuba,Cuba
Czechoslovakia,12,Czechoslovakia,Czechoslovakia
Dominican Republic,99,Dominican Republic,Republic
Ecuador,7,Ecuador,Ecuador
Egypt,7,Egypt,Egypt
El Salvador,10,El Salvador,Salvador
Eritrea,4,Eritrea,Eritrea
Ethiopia,145,Ethiopia,Ethiopia
Former Serbia and Montenegro,243,Former Serbia and Montenegro,Serbia and Montenegro
France,22,France,France
French Guiana,2,French Guiana,Guiana
Georgia,6,Georgia,Georgia
Germany,7,Germany,Germany
Grenada,13,Grenada,Grenada
Guadeloupe,11,Guadeloupe,Guadeloupe
Guatemala,114,Guatemala,Guatemala
Guinea,117,Guinea,Guinea
Guyana,2,Guyana,Guyana
Haiti,25,Haiti,Haiti
Honduras,19,Honduras,Honduras
Hungary,92,Hungary,Hungary
India,36,India,India
Indonesia,5,Indonesia,Indonesia
Iran,5,Iran,Iran
Iraq,2,Iraq,Iraq
Israel,22,Israel,Israel
Italy,83,Italy,Italy
Jamaica,6,Jamaica,Jamaica
Japan,58,Japan,Japan
Jordan,1,Jordan,Jordan
Kazakhstan,2,Kazakhstan,Kazakhstan
Kenya,35,Kenya,Kenya
Lebanon,9,Lebanon,Lebanon
Macedonia,96,Macedonia,Macedonia
Madagascar,8,Madagascar,Madagascar
Mali,13,Mali,Mali
Martinique,3,Martinique,Martinique
Mauritius,2,Mauritius,Mauritius
Mexico,2008,Mexico,Mexico
Moldova,4,Moldova,Moldova
Morocco,10,Morocco,Morocco
Myanmar,1,Myanmar,Myanmar
Nepal,33,Nepal,Nepal
Netherlands,13,Netherlands,Netherlands
New Zealand North Island,3,New Zealand North Island,Zealand North Island
Nicaragua,19,Nicaragua,Nicaragua
Nigeria,35,Nigeria,Nigeria
Oman,21,Oman,Oman
Pakistan,34,Pakistan,Pakistan
Panama,23,Panama,Panama
Paraguay,15,Paraguay,Paraguay
Peru,1448,Peru,Peru
Philippines,13,Philippines,Philippines
Poland,42,Poland,Poland
Portugal,199,Portugal,Portugal
Puerto Rico,36,Puerto Rico,Rico
Reunion,6,Reunion,Reunion
Romania,56,Romania,Romania
Russian Federation,23,Russian Federation,Federation
Saudi Arabia,5,Saudi Arabia,Arabia
Seed,1,Seed,Seed
Serbia,43,Serbia,Serbia
South Africa,109,South Africa,Africa
Soviet Union Caucasus,110,Soviet Union Caucasus,Union Caucasus
Spain,58,Spain,Spain
Sri Lanka,1,Sri Lanka,Lanka
St. Lucia,12,St. Lucia,St. Lucia
Sudan,3,Sudan,Sudan
Suriname,5,Suriname,Suriname
Swaziland,1,Swaziland,Swaziland
Syria,8,Syria,Syria
Taiwan,8,Taiwan,Taiwan
Tajikistan,1,Tajikistan,Tajikistan
Tanzania,6,Tanzania,Tanzania
Thailand,11,Thailand,Thailand
Togo,87,Togo,Togo
Trinidad and Tobago Tobago,17,Trinidad and Tobago Tobago,and Tobago Tobago
Turkey,561,Turkey,Turkey
U.S. Outlying Islands Jarvis Island,1,U.S. Outlying Islands Jarvis Island,U.S. Outlying Islands Jarvis Island
Uganda,1,Uganda,Uganda
Ukraine,20,Ukraine,Ukraine
United States,2945,United States,States
United Kingdom England,2,United Kingdom England,Kingdom England
Unknown,5,Unknown,Unknown
Uruguay,350,Uruguay,Uruguay
Uzbekistan,3,Uzbekistan,Uzbekistan
Venezuela,19,Venezuela,Venezuela
Vietnam,1,Vietnam,Vietnam
Virgin Islands (British),25,Virgin Islands (British),Islands (British)
Yemen,3,Yemen,Yemen
Zaire,18,Zaire,Zaire
Zambia,152,Zambia,Zambia
Zimbabwe,26,Zimbabwe,Zimbabwe
